emotion,protocol_spk,msp_source_id,attack_id,sample_id,model,source_path,dest_path
Neutral,1115,MSP-PODCAST_1827_0026,bonafide,genvcmsp_94_N_MSP-PODCAST_1827_0026__ref_MSP-PODCAST_0210_0272,Bonafide,/export/fs05/aurosweta/Big_Datasets/Affect_DF/Test/genvcmsp_94_N_MSP-PODCAST_1827_0026__ref_MSP-PODCAST_0210_0272.wav,/export/fs05/aurosweta/samples_affectDF_dwn/MSP_Group/Neutral/Bonafide_Neutral_genvcmsp_94_N_MSP-PODCAST_1827_0026__ref_MSP-PODCAST_0210_0272.wav
Neutral,1115,MSP-PODCAST_1827_0026,A19,MSP_ST_1115_N_MSP-PODCAST_1827_0026,StyleTTS2-MSP,/export/fs05/aurosweta/Big_Datasets/Affect_DF/Test/MSP_ST_1115_N_MSP-PODCAST_1827_0026.wav,/export/fs05/aurosweta/samples_affectDF_dwn/MSP_Group/Neutral/MSP_ST_1115_N_MSP-PODCAST_1827_0026.wav
Neutral,1115,MSP-PODCAST_1827_0026,A21,MSP_F5_1115_N_MSP-PODCAST_1827_0026,F5-TTS-MSP,/export/fs05/aurosweta/Big_Datasets/Affect_DF/Test/MSP_F5_1115_N_MSP-PODCAST_1827_0026.wav,/export/fs05/aurosweta/samples_affectDF_dwn/MSP_Group/Neutral/MSP_F5_1115_N_MSP-PODCAST_1827_0026.wav
Happy,1115,MSP-PODCAST_1825_0700,bonafide,genvcmsp_94_H_MSP-PODCAST_1825_0700__ref_MSP-PODCAST_0368_0555,Bonafide,/export/fs05/aurosweta/Big_Datasets/Affect_DF/Test/genvcmsp_94_H_MSP-PODCAST_1825_0700__ref_MSP-PODCAST_0368_0555.wav,/export/fs05/aurosweta/samples_affectDF_dwn/MSP_Group/Happy/Bonafide_Happy_genvcmsp_94_H_MSP-PODCAST_1825_0700__ref_MSP-PODCAST_0368_0555.wav
Happy,1115,MSP-PODCAST_1825_0700,A19,MSP_ST_1115_H_MSP-PODCAST_1825_0700,StyleTTS2-MSP,/export/fs05/aurosweta/Big_Datasets/Affect_DF/Test/MSP_ST_1115_H_MSP-PODCAST_1825_0700.wav,/export/fs05/aurosweta/samples_affectDF_dwn/MSP_Group/Happy/MSP_ST_1115_H_MSP-PODCAST_1825_0700.wav
Happy,1115,MSP-PODCAST_1825_0700,A21,MSP_F5_1115_H_MSP-PODCAST_1825_0700,F5-TTS-MSP,/export/fs05/aurosweta/Big_Datasets/Affect_DF/Test/MSP_F5_1115_H_MSP-PODCAST_1825_0700.wav,/export/fs05/aurosweta/samples_affectDF_dwn/MSP_Group/Happy/MSP_F5_1115_H_MSP-PODCAST_1825_0700.wav
Angry,1115,MSP-PODCAST_1825_0519,bonafide,MSP_F5_1115_A_MSP-PODCAST_1825_0519,Bonafide,/export/fs05/aurosweta/Big_Datasets/Affect_DF/Test/MSP_F5_1115_A_MSP-PODCAST_1825_0519.wav,/export/fs05/aurosweta/samples_affectDF_dwn/MSP_Group/Angry/Bonafide_Angry_MSP_F5_1115_A_MSP-PODCAST_1825_0519.wav
Angry,1115,MSP-PODCAST_1825_0519,A19,MSP_ST_1115_A_MSP-PODCAST_1825_0519,StyleTTS2-MSP,/export/fs05/aurosweta/Big_Datasets/Affect_DF/Test/MSP_ST_1115_A_MSP-PODCAST_1825_0519.wav,/export/fs05/aurosweta/samples_affectDF_dwn/MSP_Group/Angry/MSP_ST_1115_A_MSP-PODCAST_1825_0519.wav
Angry,1115,MSP-PODCAST_1825_0519,A21,MSP_F5_1115_A_MSP-PODCAST_1825_0519,F5-TTS-MSP,/export/fs05/aurosweta/Big_Datasets/Affect_DF/Test/MSP_F5_1115_A_MSP-PODCAST_1825_0519.wav,/export/fs05/aurosweta/samples_affectDF_dwn/MSP_Group/Angry/MSP_F5_1115_A_MSP-PODCAST_1825_0519.wav
Sad,1115,MSP-PODCAST_1825_0944,bonafide,MSP_F5_1115_S_MSP-PODCAST_1825_0944,Bonafide,/export/fs05/aurosweta/Big_Datasets/Affect_DF/Test/MSP_F5_1115_S_MSP-PODCAST_1825_0944.wav,/export/fs05/aurosweta/samples_affectDF_dwn/MSP_Group/Sad/Bonafide_Sad_MSP_F5_1115_S_MSP-PODCAST_1825_0944.wav
Sad,1115,MSP-PODCAST_1825_0944,A19,MSP_ST_1115_S_MSP-PODCAST_1825_0944,StyleTTS2-MSP,/export/fs05/aurosweta/Big_Datasets/Affect_DF/Test/MSP_ST_1115_S_MSP-PODCAST_1825_0944.wav,/export/fs05/aurosweta/samples_affectDF_dwn/MSP_Group/Sad/MSP_ST_1115_S_MSP-PODCAST_1825_0944.wav
Sad,1115,MSP-PODCAST_1825_0944,A21,MSP_F5_1115_S_MSP-PODCAST_1825_0944,F5-TTS-MSP,/export/fs05/aurosweta/Big_Datasets/Affect_DF/Test/MSP_F5_1115_S_MSP-PODCAST_1825_0944.wav,/export/fs05/aurosweta/samples_affectDF_dwn/MSP_Group/Sad/MSP_F5_1115_S_MSP-PODCAST_1825_0944.wav
Surprise,1115,MSP-PODCAST_1828_0298,bonafide,genvcmsp_94_Su_MSP-PODCAST_1828_0298__ref_MSP-PODCAST_0368_1232,Bonafide,/export/fs05/aurosweta/Big_Datasets/Affect_DF/Test/genvcmsp_94_Su_MSP-PODCAST_1828_0298__ref_MSP-PODCAST_0368_1232.wav,/export/fs05/aurosweta/samples_affectDF_dwn/MSP_Group/Surprise/Bonafide_Surprise_genvcmsp_94_Su_MSP-PODCAST_1828_0298__ref_MSP-PODCAST_0368_1232.wav
Surprise,1115,MSP-PODCAST_1828_0298,A19,MSP_ST_1115_Su_MSP-PODCAST_1828_0298,StyleTTS2-MSP,/export/fs05/aurosweta/Big_Datasets/Affect_DF/Test/MSP_ST_1115_Su_MSP-PODCAST_1828_0298.wav,/export/fs05/aurosweta/samples_affectDF_dwn/MSP_Group/Surprise/MSP_ST_1115_Su_MSP-PODCAST_1828_0298.wav
