Group	FolderEmotion	AudioID	AttackID	ProtocolSpeaker	ProtocolEmotion	AttackType	Model	Label	ProtocolFile	RelativePath
Dev_Group	Angry	Bonafide_Angry_0013_000352	bonafide		Angry	Real	Bonafide	bonafide	real_audio	Dev_Group/Angry/Bonafide_Angry_0013_000352.wav
Dev_Group	Angry	CV3_0013_000352	A07	0013	Angry	TTS	CosyVoice3	spoof	dev_protocol.txt	Dev_Group/Angry/CV3_0013_000352.wav
Dev_Group	Angry	MCPM_A2A_0013_0013_000352_Angry_to_Angry	A06	0013	Angry	EVC	MiniCPM-o-4_5	spoof	dev_protocol.txt	Dev_Group/Angry/MCPM_A2A_0013_0013_000352_Angry_to_Angry.wav
Dev_Group	Happy	Bonafide_Happy_0013_000702	bonafide		Happy	Real	Bonafide	bonafide	real_audio	Dev_Group/Happy/Bonafide_Happy_0013_000702.wav
Dev_Group	Happy	CV3_0013_000702	A07	0013	Happy	TTS	CosyVoice3	spoof	dev_protocol.txt	Dev_Group/Happy/CV3_0013_000702.wav
Dev_Group	Happy	MCPM_H2H_0013_0013_000702_Happy_to_Happy	A06	0013	Happy	EVC	MiniCPM-o-4_5	spoof	dev_protocol.txt	Dev_Group/Happy/MCPM_H2H_0013_0013_000702_Happy_to_Happy.wav
Dev_Group	Neutral	Bonafide_Neutral_0013_000002	bonafide		Neutral	Real	Bonafide	bonafide	real_audio	Dev_Group/Neutral/Bonafide_Neutral_0013_000002.wav
Dev_Group	Neutral	CV3_0013_000002	A07	0013	Neutral	TTS	CosyVoice3	spoof	dev_protocol.txt	Dev_Group/Neutral/CV3_0013_000002.wav
Dev_Group	Neutral	MCPM_N2N_0013_0013_000002_Neutral_to_Neutral	A06	0013	Neutral	EVC	MiniCPM-o-4_5	spoof	dev_protocol.txt	Dev_Group/Neutral/MCPM_N2N_0013_0013_000002_Neutral_to_Neutral.wav
Dev_Group	Sad	Bonafide_Sad_0013_001052	bonafide		Sad	Real	Bonafide	bonafide	real_audio	Dev_Group/Sad/Bonafide_Sad_0013_001052.wav
Dev_Group	Sad	CV3_0013_001052	A07	0013	Sad	TTS	CosyVoice3	spoof	dev_protocol.txt	Dev_Group/Sad/CV3_0013_001052.wav
Dev_Group	Sad	MCPM_S2S_0013_0013_001052_Sad_to_Sad	A06	0013	Sad	EVC	MiniCPM-o-4_5	spoof	dev_protocol.txt	Dev_Group/Sad/MCPM_S2S_0013_0013_001052_Sad_to_Sad.wav
